"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"UN    SISTEM    DE    PRODUC?IE    INOVATIV    ?I ECOEFICIENT     -    PROTEZARE    ?I    ORTEZARE MOBIL?:   O  OPORTUNITATE PENTRU O VIA?? MAI BUN?!","SC THERANOVA PROTEZARE SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",759040,123565,378259,268829,1529693
"MODERNIZAREA ?I CRE?TEREA CAPACITATE DE PRODUC?IE      PRIN     IMPLEMENTAREA      UNUI SISTEM INOVA TIV LA B.D. LEMNTECH S.R.L.","B.D.Lemntech","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",758771,123521,589472,279636,1751400
"CRE?TEREA    COMPETITIVIT??II    FIRMEI    PPJN ACHIZI?IONARE DE UTILAJE PERFORMANTE","SC ARTAFIER DAMASCHTN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",757424,123302,377454,242636,1500816
"Cre?terea competitivit??ii SC SILDVB COM SA, prin extinderea si modernizarea capacit??ii de produc?ie","SC S.I.L.D.V.B COM SA.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",755640,127736,570768,349552,1803696
"HALA    DE    PRODUC?IE    MOBILIER    R�MNICU V�LCEA","SC EXTINS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",755585,123002,605087,440932,1924606
"MODERNIZAREA   ?I  EXTINDEREA  CAPACIT??II DE PRODUC?IE A BETOANELOR LA SC CONSIG SA  GIURGIU, PRIN ACHIZI?IA UNEI STA?II DE BETOANE MOBIL? DE ULTIM? GENERA?IE","SC CONSIG SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",753102,122598,573300,257320,1706320
"ACHIZI?IONARE    DE    UTILAJE    PERFORMANTE PENTRU PRODUC?IE DE MOBILIER","SC LUX ARTIM S.R.L","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",750374,126846,375952,241173,1494345
"TEHNOLOGIE   MODERN?   DE   PRELUCRARE   A MASELOR PLASTICE .","SC ELECTRIC SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",750151,122118,373829,236760,1482858
"Achizi?ie utilaje ?i echipamente �n vederea moderniz?rii ?i cre?terii capacit??ii de produc?ie vopsele lavabile ?i tencuieli, la SC ASTEK SA, loc. Ovidiu, jud. Constan?a","SC ASTEK SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",749657,122037,581128,276843,1729665
"CRE?TEREA             PRODUCTIVIT??II             PRIN RETEHNOLOGIZARE         SI        REORGANIZAREA SPA?IULUI  DE  PRODUC?IE  LA   S.C.   BRANDAN S.R.L.","SC BRANDAN S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",748416,126515,375022,281521,1531474
"Cre?terea competitivit??ii economice a SC TOPI NEW GLASS DESIGN SRL prin achizi?ia de echipamente inalt tehnologizate si construc?ia unui studio de creatie,design si prezentare a obiectelor de sticla decorativa si artistica","SC TOPI NEW GLASS DESIGN S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",747813,126413,439025,249518,1562769
"MODERNIZAREA ACTIVITATE DE PRODUC?IE A �NTREPRINDERII  GRAFINET  DESIGN  SRL,  PRIN ACHIZI?IONAREA         DE        UTILAJE        �NALT TEHNOLOGIZATE","GRAFINET DESIGN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",742653,120897,594890,277103,1735543
"M?rirea productivit??ii ?i capacit??ii de produc?ie a SC ALEX & CO SA","SC ALEX & CO SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",738574,120233,572540,346880,1778227
"Dotare hal? de produc?ie cu utilaje pentru fabricarea de elemente de dulgherie ?i t�mplarie pentru construc?ii ?i gestionarea eficient? a de?eurilor","SC MOLIDUL COMP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",737269,120021,367411,235200,1459900
"ACHIZI?IE   DE   ECHIPAMENTE   ?I   UTILAJE   �N VEDEREA    MODERNIZ?RII    ?I    DIVERSIFIC?RII ACTIVITATE  DE  PRODUC?IE  LA   SC  HECOMIN TMPEX SRL, LOC. BAC?U, JUD. BAC?U","SC HECOMIN IMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",735331,119705,366444,325528,1547008
"MODERNIZAREA    SEC?IEI    DE    TRICOTAJE    A FIRMEI SC AUGSBURG SRL PIATRA NEAM?","SC AUGSBURG SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",730520,118922,566294,366329,1782065
"ACHIZI?IONAREA DE UTILAJE SI ECHIPAMENTE IN    VEDEREA     CRE?TERII     COMPETITIVIT??II SOCIETATE","SC SAUCOLEMN S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",730104,123420,365796,231671,1450991
"MODERNIZAREA ?I CRE?TEREA CAPACITATE DE producte:   A    SC   global   production AGENCY SRL","SC GLOBAL PRODUCTION AGENCY SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",722400,117600,560000,266000,1666000
"MODERNIZAREA ?I CRE?TEREA CAPACITATE DE PRODUC?IE A SC FIRST ADVERTISING AGENCY INTERNATIONAL SRL","SC FIRST ADVERTISING AGENCY INTERNATIONAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",722391,117599,559993,265997,1665980
"Modernizarea unit??ii de produc?ie a SC Romchim SRL prin achizi?ionarea de echipamente ?i utilaje �n vederea optimiz?rii ?i rentabiliz?rii fluxului de produc?ie","ROMCHIM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",719632,117149,548616,263225,1648622
"Achizi?ie utilaje ?i echipamente necesare activit??ii de execu?ie ?i amenaj?ri interioare �n construc?ii","SC AGI Construct SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",715184,116425,554406,462145,1848160
"CONSOLIDAREA    PRODUC?IEI    LA    SC    M&M ORCONSTRUCTA SRL","SC M&M ORCONSTRUCTA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",713958,116226,543480,3032,1376695
"?ervetele la puterea a patra","SC Piramida Trade Invest SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",713936,120686,698637,391319,1924579
"Achizi?ii   de   utilaje   la   SC  MULTINSTAL   SRL   din Timi?oara, jud. Timi?","SC MULTINSTAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",713776,116196,355702,225278,1410952
"Cre?terea competitivit??ii  economice  prin investi?ie �n tehnologie   inovativ?   ?i   ecoeficient?   de   personalizare color ?i �mplicuire documente la S.C.  TIPO DIRECT S.R.L. Cluj-Napoca""","SC TIPO DIRECT SRL","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",712240,115946,828187,506438,2162811
"Achizi?ia de utilaje terasiere  ?i  mijloace de transport pentru cre?terea competitivita??ii societ??ii ARGIF SA","SC ARGIF SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",711560,115835,551598,591531,1970524
"Achizi?ionarea    unei    automacarale    pentru    cre?terea competitivit??ii   SC  ELECTROCONSTRUCTIA  ELCO Bucure?ti SA","SC ELECTROCONTRUCTIA ELCO BUCURE?TI SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",711223,115780,778977,328365,1934346
"IMPLEMENTAREA SISTEMULUI ERP","PARTENER S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",709849,159851,571300,434440,1875440
"Achizi?ionarea de echipamente moderne si fiabile menite sa creasc? productivitatea lucr?rilor puse in opera de c?tre SC Polystart Impex SRL","SC Polystart Impex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",708460,119761,552147,262270,1642638
"Achizi?ie utilaje pentru activitatea de construc?ii, loc. Cluj Napoca","SC Decorint SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",705473,114845,529399,279526,1629243
"Reabilitare ?i modernizare microhidrocentral? ILIE? 1","S.C. HIDRO-CONSTRUC?IA SA.","Axa Prioritar? 4/ DMI 4.2. RES",702539,95801,798339,690801,2287480
"Acizi?ie sta?ie de sortare comuna Schela�jude?ul Gorj","SC BOLIADI SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",700015,113956,359815,223019,1396804
"Mjloace fixe �n construc?ii civile ?i industriale","SC YDAIL CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",699404,113856,348540,220742,1382542
"Dezvoltarea activi??ii de construc?ii realizate de Instala?ii Montaj Metal Repara?ii SRL T�rgovi?te","INSTALATE MONTAJ METAL REPARATE SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",697185,113495,347435,221387,1379502
"LAGAN  MOBILEX-O   SOCIETATE  MODERNA  IN MUN?II SADO VEI","SC LAGAN MOBILEX","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",694585,117415,348006,91218,1251224
"CONSOLIDAREA   ?I  DEZVOLTAREA  SOCffiT??II PETRANS SRL PRIN CREAREA UNEI NOI UNIT??I DE   PRODUC?IE   ?I   DOTAREA   ACESTEIA   CU TEHNOLOGII   MODERNE   ?I   COMPETITIVE,   �N REGIUNEA DE DEZVOLTARE NORD - EST, SATUL BOI?TEA, COMUNA PETRICANI, JUDE?UL NEAM?","SC PETRANS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",692300,112700,511000,240040,1556040
"Mjloace   europene   pentru   reciclarea   de?eurilor   din demol?ri urbane si industriale","SC Recicling CD 2007 SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",692104,116996,346757,299613,1455469
"Construc?ii in regiunea Sud Vest","SC TECOND SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",691673,116923,346541,299476,1454613
"Dezvoltarea sectorului productiv al SC Coralex SRL prin achizi?ia    de    echipamente,    mijloace    de    transport tehnologice si construc?ia unei cl?diri de produc?ie","SC Coralex SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",690868,116787,572713,262270,1642638
"MODERNIZAREA ?I DEZVOLTAREA DURABIL? A SC LINEX WOLF SRL PRIN ACHIZI?IONAREA DE UTILAJE ?I ECHIPAMENTE NOI","SC LINEX WOLF SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",690857,112465,535548,254385,1593255
"Dezvoltarea   sectorului   productiv   al   companiei   prin achizi?ia    de    echipamente,    mijloace    de    transport tehnologice si construc?ia unei cl?diri de produc?ie","SC Primaserv SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",690811,116777,538392,296525,1642506
"CRE?TEREA               COMPETITIVIT??II               SC PROIECTMETAL     SRL     PRIN     ACHIZI?IA     DE ECHIPAMENTE TEHNOLOGICE","SC PROIECTMETAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",690648,112431,344177,222178,1369434
"Achizi?ie de echipamente pentru modernizarea sectorului de produc?ie la SC STUR SRL Baia Mare","STUR SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",688428,112070,345771,217791,1364060
"ACHIZI?IONARE UTILAJE TEHNOLOGICE","SC PALAZZO REAL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",688311,112051,505969,248203,1554534
"EXTINDEREA,               MODERNIZAREA                ?I DEZVOLTAREA CAPACITATE DE PRODUC?IE A SC ARGIS PRODIMPEX SRL","ARGIS PRODIMPEX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",688080,112013,342897,237718,1380708
"FEREASTRA BEIUSULUI","CANDORE PROD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",687807,111969,342761,228139,1370675
"Incinte pentru sablat ?i vopsit","SC TECNOARMIT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",686886,111819,798704,338342,1935751
"CRE?TEREA   COMPETITIVIT??II  ECONOMICE  A SC MOBJEAIUD SRL PPJN ACHIZI?IA DE UTILAJE PERFORMANTE","SC MOBILAIUD SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",684814,111481,530863,252160,1579318
"Modernizarea   sectorului   productiv  al   companiei   prin achizi?ia de echipamente","SC Unicon SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",683803,115593,532930,253142,1585468
